replica,escenario,etapa,mediana,p95,red_total,demora_semaforos_total_s
13,vista_hermosa,BPR / velocidad,793.5722037023421,1407.0327437812655,3650135.4422871377,862548.6992616215
13,vista_hermosa,BPR / velocidad + semáforos,1023.1456036862021,1732.9461182606578,4512684.141548759,862548.6992616215
13,reforma,OSRM,592.4,879.1,2651634.5,487560.395132734
13,reforma,OSRM / velocidad,551.9865738762248,1012.0345235289251,2716562.689896865,487560.395132734
13,reforma,BPR / velocidad,552.249617861688,1012.0886114078513,2717321.9861809714,487560.395132734
13,reforma,BPR / velocidad + semáforos,651.6343219810694,1229.8254271453472,3204882.381313705,487560.395132734
14,base,OSRM,587.8,861.2,2675153.5,521456.72405761795
14,base,OSRM / velocidad,551.1111847185815,977.4847753910087,2723635.7405411145,521456.72405761795
14,base,BPR / velocidad,551.4152175516988,977.597923297415,2724350.365734794,521456.72405761795
14,base,BPR / velocidad + semáforos,653.7971868078487,1197.4821615698443,3245807.089792412,521456.72405761795
14,vista_hermosa,OSRM,878.6,1200.6,3651549.2,876002.6915261531
14,vista_hermosa,OSRM / velocidad,791.0697294417274,1423.9750384482193,3718666.2442888147,876002.6915261531
14,vista_hermosa,BPR / velocidad,798.2113271842924,1434.9116801958723,3745082.273785511,876002.6915261531
14,vista_hermosa,BPR / velocidad + semáforos,1014.652442918965,1761.714206815273,4621084.965311663,876002.6915261531
14,reforma,OSRM,587.8,862.4,2696400.1,493470.26131439704
14,reforma,OSRM / velocidad,552.9650661097994,993.8370101440202,2745309.495264907,493470.26131439704
14,reforma,BPR / velocidad,553.4228216359347,994.4378496473595,2746211.4694877286,493470.26131439704
14,reforma,BPR / velocidad + semáforos,648.9634780189771,1213.5393986317933,3239681.7308021258,493470.26131439704
15,base,OSRM,591.4,868.1,2671646.5,521154.2291272569
15,base,OSRM / velocidad,553.6034417841574,994.8983928097452,2732614.9680024534,521154.2291272569
15,base,BPR / velocidad,553.8905615471127,995.0136592132347,2733247.1990988404,521154.2291272569
15,base,BPR / velocidad + semáforos,663.4128679135346,1217.4044546025484,3254401.4282260975,521154.2291272569
15,vista_hermosa,OSRM,879.6,1200.6,3629272.4000000004,872834.2275387822
15,vista_hermosa,OSRM / velocidad,792.5481102279875,1431.6568186221782,3711333.153124424,872834.2275387822
15,vista_hermosa,BPR / velocidad,799.5309225543303,1444.883155418043,3729408.1876210906,872834.2275387822
15,vista_hermosa,BPR / velocidad + semáforos,1017.2373702525972,1777.826963644334,4602242.415159873,872834.2275387822
15,reforma,OSRM,591.4,873.4,2693016.9000000004,494151.32538030634
15,reforma,OSRM / velocidad,559.049399985671,1002.17518740952,2754282.884044743,494151.32538030634
15,reforma,BPR / velocidad,559.0803681563677,1002.609803089418,2755146.914300269,494151.32538030634
15,reforma,BPR / velocidad + semáforos,658.3543633629479,1231.0395283180844,3249298.239680575,494151.32538030634
16,base,OSRM,593.9,859.5,2761474.5,541080.6009198752
16,base,OSRM / velocidad,558.4005568389339,1006.9076349166759,2828938.425399822,541080.6009198752
16,base,BPR / velocidad,558.5198540463814,1007.1482559645974,2829626.1935930206,541080.6009198752
16,base,BPR / velocidad + semáforos,665.2410879645593,1220.6692197961017,3370706.794512896,541080.6009198752
16,vista_hermosa,OSRM,878.8,1200.6,3758244.5,905502.5280855561
16,vista_hermosa,OSRM / velocidad,801.8937806909956,1435.1706476816476,3847439.4897911986,905502.5280855561
16,vista_hermosa,BPR / velocidad,807.9565153344736,1448.7856335909703,3872990.35125847,905502.5280855561
16,vista_hermosa,BPR / velocidad + semáforos,1030.3130638009548,1778.3073261523944,4778492.879344026,905502.5280855561
16,reforma,OSRM,593.9,866.6,2784786.4,522367.8439123904
16,reforma,OSRM / velocidad,562.0060495229316,1019.742260904347,2852725.2974603223,522367.8439123904
16,reforma,BPR / velocidad,562.1137799435294,1019.9421044523974,2853609.820541304,522367.8439123904
16,reforma,BPR / velocidad + semáforos,660.0829585737465,1251.6696554465816,3375977.6644536946,522367.8439123904
17,base,OSRM,586.3,862.4,2635448.3,503806.1219242001
17,base,OSRM / velocidad,546.1910898331519,989.2445148029949,2702681.5573398243,503806.1219242001
17,base,BPR / velocidad,546.4182524864603,989.5843288380254,2703359.400774566,503806.1219242001
