replica,escenario,origen,destino,base,cerrado
11,base,z16,z16,298.7194877073452,298.7194877073452
11,vista_hermosa,z10,z10,292.4252874333022,292.4260679037024
11,vista_hermosa,z10,z15,797.4737657211887,1406.564926383708
11,vista_hermosa,z10,z16,844.6195138733569,1328.0965242509988
11,vista_hermosa,z15,z10,872.3213416279054,1205.9617513843843
11,vista_hermosa,z15,z15,262.67306684749667,262.4801124918489
11,vista_hermosa,z15,z16,252.62670769168471,252.63728125397728
11,vista_hermosa,z16,z10,963.4368140497747,1202.5710026944853
11,vista_hermosa,z16,z15,296.0851963331245,296.39556005937465
11,vista_hermosa,z16,z16,298.7194877073452,298.6733905794287
11,reforma,z10,z10,292.4252874333022,293.5022114379203
11,reforma,z10,z15,797.4737657211887,783.9370801260206
11,reforma,z10,z16,844.6195138733569,838.6115688276751
11,reforma,z15,z10,872.3213416279054,861.6464934752412
11,reforma,z15,z15,262.67306684749667,262.67306234203085
11,reforma,z15,z16,252.62670769168471,252.6267033653624
11,reforma,z16,z10,963.4368140497747,951.9180206528749
11,reforma,z16,z15,296.0851963331245,296.085196066224
11,reforma,z16,z16,298.7194877073452,298.7194877073452
12,base,z10,z10,314.32356208119654,314.32356208119654
12,base,z10,z15,783.9317651152772,783.9317651152772
12,base,z10,z16,828.9510758398076,828.9510758398076
12,base,z15,z10,859.3032611223827,859.3032611223827
12,base,z15,z15,256.00014930320833,256.00014930320833
12,base,z15,z16,235.35979718989225,235.35979718989225
12,base,z16,z10,962.6097911928392,962.6097911928392
12,base,z16,z15,278.774492139107,278.774492139107
12,base,z16,z16,304.5009993518129,304.5009993518129
12,vista_hermosa,z10,z10,314.32356208119654,314.33742527205766
12,vista_hermosa,z10,z15,783.9317651152772,1376.7527586546196
12,vista_hermosa,z10,z16,828.9510758398076,1284.4951143087442
12,vista_hermosa,z15,z10,859.3032611223827,1189.8294673553505
12,vista_hermosa,z15,z15,256.00014930320833,256.24466620522196
12,vista_hermosa,z15,z16,235.35979718989225,235.35979718989225
12,vista_hermosa,z16,z10,962.6097911928392,1212.478380588884
12,vista_hermosa,z16,z15,278.774492139107,280.262912343493
12,vista_hermosa,z16,z16,304.5009993518129,305.0065088192422
12,reforma,z10,z10,314.32356208119654,314.29712562910015
12,reforma,z10,z15,783.9317651152772,764.0245562490362
12,reforma,z10,z16,828.9510758398076,816.4159045500793
12,reforma,z15,z10,859.3032611223827,848.1999840719889
12,reforma,z15,z15,256.00014930320833,255.99917717251995
12,reforma,z15,z16,235.35979718989225,235.35979718989225
12,reforma,z16,z10,962.6097911928392,942.1852277562389
12,reforma,z16,z15,278.774492139107,278.7744454067138
12,reforma,z16,z16,304.5009993518129,304.50096912170915
13,base,z10,z10,300.1329502830012,300.1329502830012
13,base,z10,z15,778.6188397298937,778.6188397298937
13,base,z10,z16,849.6437430394221,849.6437430394221
13,base,z15,z10,902.8105916200077,902.8105916200077
13,base,z15,z15,251.87448570366567,251.87448570366567
13,base,z15,z16,248.97121124936615,248.97121124936615
13,base,z16,z10,957.9185273033492,957.9185273033492
13,base,z16,z15,286.19026586372325,286.19026586372325
13,base,z16,z16,292.32401566510975,292.32401566510975
13,vista_hermosa,z10,z10,300.1329502830012,300.13319697550475
13,vista_hermosa,z10,z15,778.6188397298937,1386.1531231332938
13,vista_hermosa,z10,z16,849.6437430394221,1318.9185499159578
13,vista_hermosa,z15,z10,902.8105916200077,1227.1214554037574
13,vista_hermosa,z15,z15,251.87448570366567,251.90184704855818
13,vista_hermosa,z15,z16,248.97121124936615,248.93555064497858
13,vista_hermosa,z16,z10,957.9185273033492,1211.397693892286
13,vista_hermosa,z16,z15,286.19026586372325,286.9209616567963
13,vista_hermosa,z16,z16,292.32401566510975,293.3952217340512
13,reforma,z10,z10,300.1329502830012,301.10501120736035
13,reforma,z10,z15,778.6188397298937,769.161999924962
13,reforma,z10,z16,849.6437430394221,833.7829880777167
13,reforma,z15,z10,902.8105916200077,888.9709868733765
13,reforma,z15,z15,251.87448570366567,251.87448570366567
13,reforma,z15,z16,248.97121124936615,248.97121124936615
13,reforma,z16,z10,957.9185273033492,940.6663242688107
13,reforma,z16,z15,286.19026586372325,286.19026586372325
13,reforma,z16,z16,292.32401566510975,292.32401442524497
14,base,z10,z10,303.05157553741947,303.05157553741947
14,base,z10,z15,789.2672804138801,789.2672804138801
14,base,z10,z16,840.676618942362,840.676618942362
14,base,z15,z10,870.9673646584378,870.9673646584378
